                                                  STATE OF ILLINOIS NATIONAL BANK                                         PAGE:    1
                                                SEMI-MONTHLY EMPLOYEE PAYROLL REPORT                                                

EMPLOYEE   EMPLOYEE                     HOURLY     HOURS            EMPLOYEE    EMPLOYEE FEDERAL    EMPLOYEE STATE          EMPLOYEE
ID         NAME                            PAY    WORKED           GROSS PAY         WITHHOLDING       WITHHOLDING           NET PAY
---------  -------------------------   -------   -------     ---------------    ----------------    --------------   ---------------

523-45245  JOAN TOWER                   $15.25     80.50           $1,722.75             $236.88            $55.99         $1,429.88

034-56322  WOLFGANG AMADEUS MOZART      $19.00     80.75           $1,547.69             $212.81            $50.30         $1,284.58

340-32233  RICHARD STRAUSS              $10.29     80.00           $1,045.97             $143.82            $33.99           $868.16

164-65120  AMY BEACH                    $22.00     77.00           $2,579.16             $354.63            $83.82         $2,140.71

765-60023  ETHEL SMYTH                  $23.75     28.25             $710.64              $97.71            $23.10           $589.83

238-70322  PETER ILYICH TCHAIKOVSKY     $22.95     80.50           $1,826.23             $251.11            $59.35         $1,515.77

049-66277  ANTON BRUCKNER               $23.20     78.67           $2,044.58             $281.13            $66.45         $1,697.00

023-45245  FLORENCE PRICE               $15.25     80.50           $1,802.75             $247.88            $58.59         $1,496.28

134-56322  CLAUDE DEBUSSY               $19.00     80.77           $1,546.85             $212.69            $50.27         $1,283.89

340-32233  JUDITH WEIR                  $10.29     80.00           $1,045.97             $143.82            $33.99           $868.16

164-65120  LUDWIG VAN BEETHOVEN         $22.00     80.00           $2,645.16             $363.71            $85.97         $2,195.48

065-60023  JOHANN SEBASTIAN BACH        $23.75     28.25             $707.64              $97.30            $23.00           $587.34

238-70322  AARON COPLAND                $22.95     80.50           $1,826.23             $251.11            $59.35         $1,515.77

949-66277  CHARLES IVES                 $20.20     78.67           $1,798.57             $247.30            $58.45         $1,492.82

023-45245  SHULAMIT RAN                 $15.25     80.50           $1,702.75             $234.13            $55.34         $1,413.28

134-56322  ARTHUR HONEGGER              $19.00     80.75           $1,547.69             $212.81            $50.30         $1,284.58

340-32233  NADIA BOULANGER              $10.29     80.00           $1,046.97             $143.96            $34.03           $868.98

                                                  STATE OF ILLINOIS NATIONAL BANK                                         PAGE:    2
                                                SEMI-MONTHLY EMPLOYEE PAYROLL REPORT                                                

